CustomerID;CompanyName;City;Country;OrderID;OrderDate;ProductName;Quantity;UnitPrice;TotalPrice
VINET;Vins et alcools Chevalier;Reims;France;10248;1996-07-04 00:00:00.000;Queso Cabrales;12;14,00;168,00
VINET;Vins et alcools Chevalier;Reims;France;10248;1996-07-04 00:00:00.000;Singaporean Hokkien Fried Mee;10;9,80;98,00
VINET;Vins et alcools Chevalier;Reims;France;10248;1996-07-04 00:00:00.000;Mozzarella di Giovanni;5;34,80;174,00
TOMSP;Toms Spezialitäten;Münster;Germany;10249;1996-07-05 00:00:00.000;Tofu;9;18,60;167,40
TOMSP;Toms Spezialitäten;Münster;Germany;10249;1996-07-05 00:00:00.000;Manjimup Dried Apples;40;42,40;1696,00
HANAR;Hanari Carnes;Rio de Janeiro;Brazil;10250;1996-07-08 00:00:00.000;Jack's New England Clam Chowder;10;7,70;77,00
HANAR;Hanari Carnes;Rio de Janeiro;Brazil;10250;1996-07-08 00:00:00.000;Manjimup Dried Apples;35;42,40;1484,00
HANAR;Hanari Carnes;Rio de Janeiro;Brazil;10250;1996-07-08 00:00:00.000;Louisiana Fiery Hot Pepper Sauce;15;16,80;252,00
VICTE;Victuailles en stock;Lyon;France;10251;1996-07-08 00:00:00.000;Gustaf's Knäckebröd;6;16,80;100,80
VICTE;Victuailles en stock;Lyon;France;10251;1996-07-08 00:00:00.000;Ravioli Angelo;15;15,60;234,00
VICTE;Victuailles en stock;Lyon;France;10251;1996-07-08 00:00:00.000;Louisiana Fiery Hot Pepper Sauce;20;16,80;336,00
SUPRD;Supremes délices;Charleroi;Belgium;10252;1996-07-09 00:00:00.000;Sir Rodney's Marmalade;40;64,80;2592,00
SUPRD;Supremes délices;Charleroi;Belgium;10252;1996-07-09 00:00:00.000;Geitost;25;2,00;50,00
SUPRD;Supremes délices;Charleroi;Belgium;10252;1996-07-09 00:00:00.000;Camembert Pierrot;40;27,20;1088,00
