CustomerID,CompanyName,City,Country,OrderID,OrderDate,ProductName,Quantity,UnitPrice,TotalPrice,Month,Year
VINET,Vins et alcools Chevalier,Reims,France,10248,1996-07-04,Queso Cabrales,12.0,14.0,168.0,July,1996
VINET,Vins et alcools Chevalier,Reims,France,10248,1996-07-04,Singaporean Hokkien Fried Mee,10.0,9.8,98.0,July,1996
VINET,Vins et alcools Chevalier,Reims,France,10248,1996-07-04,Mozzarella di Giovanni,5.0,34.8,174.0,July,1996
TOMSP,Toms Spezialitäten,Münster,Germany,10249,1996-07-05,Tofu,9.0,18.6,167.4,July,1996
TOMSP,Toms Spezialitäten,Münster,Germany,10249,1996-07-05,Manjimup Dried Apples,40.0,42.4,1696.0,July,1996
HANAR,Hanari Carnes,Rio De Janeiro,Brazil,10250,1996-07-08,Jack's New England Clam Chowder,10.0,7.7,77.0,July,1996
HANAR,Hanari Carnes,Rio De Janeiro,Brazil,10250,1996-07-08,Manjimup Dried Apples,35.0,42.4,1484.0,July,1996
HANAR,Hanari Carnes,Rio De Janeiro,Brazil,10250,1996-07-08,Louisiana Fiery Hot Pepper Sauce,15.0,16.8,252.0,July,1996
VICTE,Victuailles en stock,Lyon,France,10251,1996-07-08,Gustaf's Knäckebröd,6.0,16.8,100.8,July,1996
VICTE,Victuailles en stock,Lyon,France,10251,1996-07-08,Ravioli Angelo,15.0,15.6,234.0,July,1996
VICTE,Victuailles en stock,Lyon,France,10251,1996-07-08,Louisiana Fiery Hot Pepper Sauce,20.0,16.8,336.0,July,1996
SUPRD,Supremes délices,Charleroi,Belgium,10252,1996-07-09,Sir Rodney's Marmalade,40.0,64.8,2592.0,July,1996
SUPRD,Supremes délices,Charleroi,Belgium,10252,1996-07-09,Geitost,25.0,2.0,50.0,July,1996
SUPRD,Supremes délices,Charleroi,Belgium,10252,1996-07-09,Camembert Pierrot,40.0,27.2,1088.0,July,1996
HANAR,Hanari Carnes,Rio De Janeiro,Brazil,10253,1996-07-10,Gorgonzola Telino,20.0,10.0,200.0,July,1996
HANAR,Hanari Carnes,Rio De Janeiro,Brazil,10253,1996-07-10,Chartreuse verte,42.0,14.4,604.8,July,1996
HANAR,Hanari Carnes,Rio De Janeiro,Brazil,10253,1996-07-10,Maxilaku,40.0,16.0,640.0,July,1996
CHOPS,Chop-suey Chinese,Bern,Switzerland,10254,1996-07-11,Guaraná Fantástica,15.0,3.6,54.0,July,1996
CHOPS,Chop-suey Chinese,Bern,Switzerland,10254,1996-07-11,Pâté chinois,21.0,19.2,403.2,July,1996
CHOPS,Chop-suey Chinese,Bern,Switzerland,10254,1996-07-11,Longlife Tofu,21.0,8.0,168.0,July,1996
RICSU,Richter Supermarkt,Geneve,Switzerland,10255,1996-07-12,Chang,20.0,15.2,304.0,July,1996
RICSU,Richter Supermarkt,Geneve,Switzerland,10255,1996-07-12,Pavlova,35.0,13.9,486.5,July,1996
RICSU,Richter Supermarkt,Geneve,Switzerland,10255,1996-07-12,Inlagd Sill,25.0,15.2,380.0,July,1996
RICSU,Richter Supermarkt,Geneve,Switzerland,10255,1996-07-12,Raclette Courdavault,30.0,44.0,1320.0,July,1996
WELLI,Wellington Importadora,Resende,Brazil,10256,1996-07-15,Perth Pasties,15.0,26.2,393.0,July,1996
WELLI,Wellington Importadora,Resende,Brazil,10256,1996-07-15,Original Frankfurter grüne Soße,12.0,10.4,124.8,July,1996
HILAA,HILARION-Abastos,San Cristóbal,Venezuela,10257,1996-07-16,Schoggi Schokolade,25.0,35.1,877.5,July,1996
HILAA,HILARION-Abastos,San Cristóbal,Venezuela,10257,1996-07-16,Chartreuse verte,6.0,14.4,86.4,July,1996
HILAA,HILARION-Abastos,San Cristóbal,Venezuela,10257,1996-07-16,Original Frankfurter grüne Soße,15.0,10.4,156.0,July,1996
ERNSH,Ernst Handel,Graz,Austria,10258,1996-07-17,Chang,50.0,15.2,760.0,July,1996
ERNSH,Ernst Handel,Graz,Austria,10258,1996-07-17,Chef Anton's Gumbo Mix,65.0,17.0,1105.0,July,1996
ERNSH,Ernst Handel,Graz,Austria,10258,1996-07-17,Mascarpone Fabioli,6.0,25.6,153.6,July,1996
CENTC,Centro comercial Moctezuma,México D.F.,Mexico,10259,1996-07-18,Sir Rodney's Scones,10.0,8.0,80.0,July,1996
CENTC,Centro comercial Moctezuma,México D.F.,Mexico,10259,1996-07-18,Gravad lax,1.0,20.8,20.8,July,1996
OTTIK,Ottilies Käseladen,Köln,Germany,10260,1996-07-19,Jack's New England Clam Chowder,16.0,7.7,123.2,July,1996
OTTIK,Ottilies Käseladen,Köln,Germany,10260,1996-07-19,Ravioli Angelo,50.0,15.6,780.0,July,1996
OTTIK,Ottilies Käseladen,Köln,Germany,10260,1996-07-19,Tarte au sucre,15.0,39.4,591.0,July,1996
OTTIK,Ottilies Käseladen,Köln,Germany,10260,1996-07-19,Outback Lager,21.0,12.0,252.0,July,1996
QUEDE,Que Delícia,Rio De Janeiro,Brazil,10261,1996-07-19,Sir Rodney's Scones,20.0,8.0,160.0,July,1996
QUEDE,Que Delícia,Rio De Janeiro,Brazil,10261,1996-07-19,Steeleye Stout,20.0,14.4,288.0,July,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10262,1996-07-22,Chef Anton's Gumbo Mix,12.0,17.0,204.0,July,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10262,1996-07-22,Uncle Bob's Organic Dried Pears,15.0,24.0,360.0,July,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10262,1996-07-22,Gnocchi di nonna Alice,2.0,30.4,60.8,July,1996
ERNSH,Ernst Handel,Graz,Austria,10263,1996-07-23,Pavlova,60.0,13.9,834.0,July,1996
ERNSH,Ernst Handel,Graz,Austria,10263,1996-07-23,Guaraná Fantástica,28.0,3.6,100.8,July,1996
ERNSH,Ernst Handel,Graz,Austria,10263,1996-07-23,Nord-Ost Matjeshering,60.0,20.7,1242.0,July,1996
ERNSH,Ernst Handel,Graz,Austria,10263,1996-07-23,Longlife Tofu,36.0,8.0,288.0,July,1996
FOLKO,Folk och fä HB,Bräcke,Sweden,10264,1996-07-24,Chang,35.0,15.2,532.0,July,1996
FOLKO,Folk och fä HB,Bräcke,Sweden,10264,1996-07-24,Jack's New England Clam Chowder,25.0,7.7,192.5,July,1996
BLONP,Blondesddsl pere et fils,Strasbourg,France,10265,1996-07-25,Alice Mutton,30.0,31.2,936.0,July,1996
BLONP,Blondesddsl pere et fils,Strasbourg,France,10265,1996-07-25,Outback Lager,20.0,12.0,240.0,July,1996
WARTH,Wartian Herkku,Oulu,Finland,10266,1996-07-26,Queso Manchego La Pastora,12.0,30.4,364.8,July,1996
FRANK,Frankenversand,München,Germany,10267,1996-07-29,Boston Crab Meat,50.0,14.7,735.0,July,1996
FRANK,Frankenversand,München,Germany,10267,1996-07-29,Raclette Courdavault,70.0,44.0,3080.0,July,1996
FRANK,Frankenversand,München,Germany,10267,1996-07-29,Lakkalikööri,15.0,14.4,216.0,July,1996
GROSR,GROSELLA-Restaurante,Caracas,Venezuela,10268,1996-07-30,Thüringer Rostbratwurst,10.0,99.0,990.0,July,1996
GROSR,GROSELLA-Restaurante,Caracas,Venezuela,10268,1996-07-30,Mozzarella di Giovanni,4.0,27.8,111.2,July,1996
WHITC,White Clover Markets,Seattle,Usa,10269,1996-07-31,Geitost,60.0,2.0,120.0,July,1996
WHITC,White Clover Markets,Seattle,Usa,10269,1996-07-31,Mozzarella di Giovanni,20.0,27.8,556.0,July,1996
WARTH,Wartian Herkku,Oulu,Finland,10270,1996-08-01,Inlagd Sill,30.0,15.2,456.0,August,1996
WARTH,Wartian Herkku,Oulu,Finland,10270,1996-08-01,Ipoh Coffee,25.0,36.8,920.0,August,1996
SPLIR,Split Rail Beer & Ale,Lander,Usa,10271,1996-08-01,Geitost,24.0,2.0,48.0,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10272,1996-08-02,Sir Rodney's Marmalade,6.0,64.8,388.8,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10272,1996-08-02,Gorgonzola Telino,40.0,10.0,400.0,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10272,1996-08-02,Mozzarella di Giovanni,24.0,27.8,667.2,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10273,1996-08-05,Ikura,24.0,24.8,595.2,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10273,1996-08-05,Gorgonzola Telino,15.0,10.0,150.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10273,1996-08-05,Geitost,20.0,2.0,40.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10273,1996-08-05,Boston Crab Meat,60.0,14.7,882.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10273,1996-08-05,Lakkalikööri,33.0,14.4,475.2,August,1996
VINET,Vins et alcools Chevalier,Reims,France,10274,1996-08-06,Flotemysost,20.0,17.2,344.0,August,1996
VINET,Vins et alcools Chevalier,Reims,France,10274,1996-08-06,Mozzarella di Giovanni,7.0,27.8,194.6,August,1996
MAGAA,Magazzini Alimentari Riuniti,Bergamo,Italy,10275,1996-08-07,Guaraná Fantástica,12.0,3.6,43.2,August,1996
MAGAA,Magazzini Alimentari Riuniti,Bergamo,Italy,10275,1996-08-07,Raclette Courdavault,6.0,44.0,264.0,August,1996
TORTU,Tortuga Restaurante,México D.F.,Mexico,10276,1996-08-08,Ikura,15.0,24.8,372.0,August,1996
TORTU,Tortuga Restaurante,México D.F.,Mexico,10276,1996-08-08,Konbu,10.0,4.8,48.0,August,1996
MORGK,Morgenstern Gesundkost,Leipzig,Germany,10277,1996-08-09,Rössle Sauerkraut,20.0,36.4,728.0,August,1996
MORGK,Morgenstern Gesundkost,Leipzig,Germany,10277,1996-08-09,Tarte au sucre,12.0,39.4,472.8,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10278,1996-08-12,Gula Malacca,16.0,15.5,248.0,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10278,1996-08-12,Raclette Courdavault,15.0,44.0,660.0,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10278,1996-08-12,Vegie-spread,8.0,35.1,280.8,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10278,1996-08-12,Röd Kaviar,25.0,12.0,300.0,August,1996
LEHMS,Lehmanns Marktstand,Frankfurt A.M.,Germany,10279,1996-08-13,Alice Mutton,15.0,31.2,468.0,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10280,1996-08-14,Guaraná Fantástica,12.0,3.6,43.2,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10280,1996-08-14,Pâté chinois,20.0,19.2,384.0,August,1996
BERGS,Berglunds snabbköp,Lulea,Sweden,10280,1996-08-14,Rhönbräu Klosterbier,30.0,6.2,186.0,August,1996
ROMEY,Romero y tomillo,Madrid,Spain,10281,1996-08-14,Teatime Chocolate Biscuits,1.0,7.3,7.3,August,1996
ROMEY,Romero y tomillo,Madrid,Spain,10281,1996-08-14,Guaraná Fantástica,6.0,3.6,21.6,August,1996
ROMEY,Romero y tomillo,Madrid,Spain,10281,1996-08-14,Steeleye Stout,4.0,14.4,57.6,August,1996
ROMEY,Romero y tomillo,Madrid,Spain,10282,1996-08-15,Nord-Ost Matjeshering,6.0,20.7,124.2,August,1996
ROMEY,Romero y tomillo,Madrid,Spain,10282,1996-08-15,Ravioli Angelo,2.0,15.6,31.2,August,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10283,1996-08-16,Genen Shouyu,20.0,12.4,248.0,August,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10283,1996-08-16,Teatime Chocolate Biscuits,18.0,7.3,131.4,August,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10283,1996-08-16,Camembert Pierrot,35.0,27.2,952.0,August,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10283,1996-08-16,Mozzarella di Giovanni,3.0,27.8,83.4,August,1996
LEHMS,Lehmanns Marktstand,Frankfurt A.M.,Germany,10284,1996-08-19,Schoggi Schokolade,15.0,35.1,526.5,August,1996
LEHMS,Lehmanns Marktstand,Frankfurt A.M.,Germany,10284,1996-08-19,Gula Malacca,21.0,15.5,325.5,August,1996
LEHMS,Lehmanns Marktstand,Frankfurt A.M.,Germany,10284,1996-08-19,Camembert Pierrot,20.0,27.2,544.0,August,1996
LEHMS,Lehmanns Marktstand,Frankfurt A.M.,Germany,10284,1996-08-19,Laughing Lumberjack Lager,5.0,11.2,56.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10285,1996-08-20,Chai,45.0,14.4,648.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10285,1996-08-20,Boston Crab Meat,40.0,14.7,588.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10285,1996-08-20,Perth Pasties,36.0,26.2,943.2,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10286,1996-08-21,Steeleye Stout,100.0,14.4,1440.0,August,1996
QUICK,QUICK-Stop,Cunewalde,Germany,10286,1996-08-21,Tarte au sucre,40.0,39.4,1576.0,August,1996
RICAR,Ricardo Adocicados,Rio De Janeiro,Brazil,10287,1996-08-22,Pavlova,40.0,13.9,556.0,August,1996
RICAR,Ricardo Adocicados,Rio De Janeiro,Brazil,10287,1996-08-22,Sasquatch Ale,20.0,11.2,224.0,August,1996
RICAR,Ricardo Adocicados,Rio De Janeiro,Brazil,10287,1996-08-22,Spegesild,15.0,9.6,144.0,August,1996
REGGC,Reggiani Caseifici,Reggio Emilia,Italy,10288,1996-08-23,Tourtiere,10.0,5.9,59.0,August,1996
REGGC,Reggiani Caseifici,Reggio Emilia,Italy,10288,1996-08-23,Scottish Longbreads,3.0,10.0,30.0,August,1996
BSBEV,B's Beverages,London,Uk,10289,1996-08-26,Aniseed Syrup,30.0,8.0,240.0,August,1996
BSBEV,B's Beverages,London,Uk,10289,1996-08-26,Wimmers gute Semmelknödel,9.0,26.6,239.4,August,1996
COMMI,Comércio Mineiro,Sao Paulo,Brazil,10290,1996-08-27,Chef Anton's Gumbo Mix,20.0,17.0,340.0,August,1996
COMMI,Comércio Mineiro,Sao Paulo,Brazil,10290,1996-08-27,Thüringer Rostbratwurst,15.0,99.0,1485.0,August,1996
COMMI,Comércio Mineiro,Sao Paulo,Brazil,10290,1996-08-27,Maxilaku,15.0,16.0,240.0,August,1996
COMMI,Comércio Mineiro,Sao Paulo,Brazil,10290,1996-08-27,Original Frankfurter grüne Soße,10.0,10.4,104.0,August,1996
QUEDE,Que Delícia,Rio De Janeiro,Brazil,10291,1996-08-27,Konbu,20.0,4.8,96.0,August,1996
QUEDE,Que Delícia,Rio De Janeiro,Brazil,10291,1996-08-27,Gula Malacca,24.0,15.5,372.0,August,1996
QUEDE,Que Delícia,Rio De Janeiro,Brazil,10291,1996-08-27,Manjimup Dried Apples,2.0,42.4,84.8,August,1996
TRADH,Tradiçao Hipermercados,Sao Paulo,Brazil,10292,1996-08-28,Sir Rodney's Marmalade,20.0,64.8,1296.0,August,1996
TORTU,Tortuga Restaurante,México D.F.,Mexico,10293,1996-08-29,Carnarvon Tigers,12.0,50.0,600.0,August,1996
TORTU,Tortuga Restaurante,México D.F.,Mexico,10293,1996-08-29,Guaraná Fantástica,10.0,3.6,36.0,August,1996
TORTU,Tortuga Restaurante,México D.F.,Mexico,10293,1996-08-29,Vegie-spread,5.0,35.1,175.5,August,1996
TORTU,Tortuga Restaurante,México D.F.,Mexico,10293,1996-08-29,Rhönbräu Klosterbier,6.0,6.2,37.2,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10294,1996-08-30,Chai,18.0,14.4,259.2,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10294,1996-08-30,Alice Mutton,15.0,31.2,468.0,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10294,1996-08-30,Ipoh Coffee,15.0,36.8,552.0,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10294,1996-08-30,Camembert Pierrot,21.0,27.2,571.2,August,1996
RATTC,Rattlesnake Canyon Grocery,Albuquerque,Usa,10294,1996-08-30,Rhönbräu Klosterbier,6.0,6.2,37.2,August,1996
VINET,Vins et alcools Chevalier,Reims,France,10295,1996-09-02,Gnocchi di nonna Alice,4.0,30.4,121.6,September,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10296,1996-09-03,Queso Cabrales,12.0,16.8,201.6,September,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10296,1996-09-03,Pavlova,30.0,13.9,417.0,September,1996
LILAS,LILA-Supermercado,Barquisimeto,Venezuela,10296,1996-09-03,Gudbrandsdalsost,15.0,28.8,432.0,September,1996
BLONP,Blondesddsl pere et fils,Strasbourg,France,10297,1996-09-04,Chartreuse verte,60.0,14.4,864.0,September,1996
BLONP,Blondesddsl pere et fils,Strasbourg,France,10297,1996-09-04,Mozzarella di Giovanni,20.0,27.8,556.0,September,1996
HUNGO,Hungry Owl All-Night Grocers,Cork,Ireland,10298,1996-09-05,Chang,40.0,15.2,608.0,September,1996
HUNGO,Hungry Owl All-Night Grocers,Cork,Ireland,10298,1996-09-05,Inlagd Sill,40.0,15.2,608.0,September,1996
HUNGO,Hungry Owl All-Night Grocers,Cork,Ireland,10298,1996-09-05,Raclette Courdavault,30.0,44.0,1320.0,September,1996
HUNGO,Hungry Owl All-Night Grocers,Cork,Ireland,10298,1996-09-05,Tarte au sucre,15.0,39.4,591.0,September,1996
RICAR,Ricardo Adocicados,Rio De Janeiro,Brazil,10299,1996-09-06,Teatime Chocolate Biscuits,15.0,7.3,109.5,September,1996
